Brigade,latitude,longitude
YANKALILLA ,-35.5,-138.35
PORT WAKEFIELD ,-34.2,-138.15
LITTLEHAMPTON ,-35.05,-138.85
WILLIAMSTOWN ,-37.85,-144.9
GLOSSOP ,-34.25,-140.55
MARION BAY ,-35.25,-137
STREAKY BAY ,-32.75,-134.6
WOODSIDE ,-34.95,-138.9
TAILEM BEND ,-35.25,-139.45
MACCLESFIELD ,-37.9,-145.5
ANGASTON ,-34.5,-139.05
GAWLER RIVER ,-34.6,-138.65
PARAWA ,-35.55,-138.35
MOUNT PLEASANT ,-34.8,-139.05
TWO WELLS ,-34.6,-138.5
GOOLWA ,-35.5,-138.8
BIRDWOOD ,-34.8,-138.95
CEDUNA ,-32.15,-134.1
STIRLING NORTH ,-32.5,-137.85
WILLALOOKA ,-36.4,-140.35
WOOLSHEDS/WASLEYS ,-34.5,-138.65
KERSBROOK ,-34.8,-138.85
MARCOLLAT ,-36.6,-140.35
KADINA ,-33.95,-137.7
QUORN AND DISTRICTS ,-32.35,-138.05
MOORAK ,-37.85,-140.7
ROBE TOWN ,-37.15,-139.75
BELAIR ,-35,-138.65
SALISBURY ,-34.75,-138.6
BORDERTOWN ,-36.3,-140.75
MILLICENT ,-37.6,-140.35
CONCORDIA ,-34.6,-138.8
SPALDING ,-33.5,-138.6
MYLOR ,-35.05,-138.75
MURRAY BRIDGE ,-35.2,-139.2
MEADOWS ,-34.1,-151.1
WAIKERIE ,-34.2,-140
BURNSIDE ,-34.95,-138.65
BARMERA ,-34.25,-140.45
MONASH ,-35.4,-149.1
CADELL ,-34.05,-139.75
SWAN REACH ,-34.55,-139.6
BOWHILL AND DISTRICTS ,-34.9,-139.6
COWELL ,-33.7,-136.9
MONARTO ,-35.1,-139.1
MANNUM ,-34.9,-139.3
SEAFORD ,-38.1,-145.15
JAMESTOWN ,-33.2,-138.6
PORT ELLIOT ,-35.55,-138.7
CAREY GULLY ,-34.95,-138.75
BALAKLAVA ,-34.15,-138.4
KANGARILLA ,-35.15,-138.65
UPPER STURT ,-35,-138.7
BRADBURY ,-34.1,-150.8
MILANG ,-35.4,-138.95
ATHELSTONE ,-34.85,-138.7
BOOBOROWIE ,-33.55,-138.75
WILLUNGA ,-35.25,-138.55
DALKEITH ,-32,-115.8
WANDILO ,-37.75,-140.75
ONE TREE HILL ,-25.3,-151.9
CHERRYVILLE ,-34.9,-138.75
CUDLEE CREEK ,-34.85,-138.85
REGION 6 OPERATIONS ,-34.6,-150.5
PARNDANA ,-35.8,-137.25
FAR WEST ,-34.8,-150.7
MCCALLUM ,-36,-140.65
WIRRABARA ,-33.05,-138.25
CAPE JERVIS ,-35.6,-138.1
BRIDGEWATER ,-42.75,-147.25
ECHUNGA ,-35.1,-138.8
PARINGA ,-34.2,-140.8
KINGSCOTE ,-35.65,-137.65
ALDGATE ,-35,-138.75
KONGAL ,-36.4,-140.45
STIRLING ,-35,-138.7
KINGSTON ,-34.15,-116.35
GERANIUM ,-35.4,-140.15
VIRGINIA ,-34.65,-138.55
AUBURN ,-33.85,-151.05
SES LAURA ,-33.2,-138.3
LOWER INMAN VALLEY ,-35.55,-138.6
NARACOORTE ,-36.95,-140.75
MIDDLETON ,-22.35,-141.55
SOUTHEND ,-37.55,-140.1
CLARENDON ,-33.6,-150.8
MYPOLONGA ,-35.05,-139.35
KAROONDA ,-35.1,-139.9
ROBERTSTOWN ,-34,-139.1
IRON KNOB ,-18.8,-144.9
BLEWITT SPRINGS ,-35.15,-138.6
YORKE VALLEY GROUP ,-34.45,-137.65
KI KI ,-35.55,-139.8
LUCINDALE ,-36.95,-140.35
MOUNT REMARKABLE GROUP ,-29.3,-121.9
TEA TREE GULLY ,-34.8,-138.7
LENSWOOD/FOREST RANGE ,-34.95,-138.8
NORTON SUMMIT/ASHTON ,-34.9,-138.75
DARKE PEAK ,-33.45,-136.15
MELROSE ,-32.85,-138.2
PARILLA ,-35.3,-140.65
CLEVE ,-33.65,-136.3
RANGE/HOPE FOREST ,-35.3,-138.6
MOUNT BARKER ,-35.05,-138.85
WESTERN DISTRICTS (DO NOT USE) ,-31.95,-92.7
EDEN VALLEY ,-34.65,-139.15
LINCOLN ,-32.45,-149.05
IRONBANK ,-35.05,-138.7
PINNAROO ,-35.3,-140.9
CALLINGTON ,-35.1,-139.05
MENINGIE ,-35.7,-139.35
BURRA ,-33.65,-138.95
SALT CREEK (R3) ,-36.15,-139.65
TILLEY SWAMP ,-36.35,-139.95
KIMBA ,-33.05,-136.2
TINTINARA ,-35.9,-140.05
ARGYLE ,-36.95,-144.75
CALLENDALE ,-37.15,-140.4
KEITH ,-36.1,-140.35
MORPHETT VALE ,-35.1,-138.5
OAKBANK/BALHANNAH ,-35,-138.85
WATERLOO ,-33.9,-151.2
PONDOOMA ,-34.9,-138.6
COOBER PEDY ,-29,-134.75
RAPID BAY AND DISTRICTS ,-35.55,-138.2
YAHL ,-37.9,-140.85
HAPPY VALLEY ,-25.35,-153.2
WATTLE RANGE GROUP ,-37.45,-140.5
WARNERTOWN ,-33.25,-138.1
MAMBRAY CREEK ,-32.85,-137.95
TANTANOOLA ,-37.7,-140.45
TARLEE ,-34.25,-138.75
MOOROOK ,-34.3,-140.3
BASKET RANGE ,-34.95,-138.75
PENNESHAW ,-35.7,-137.95
COOMBE ,-35.95,-140.25
MOUNT COMPASS ,-35.35,-138.6
WALKER FLAT ,-34.75,-139.55
PENOLA ,-37.4,-140.85
EUDUNDA ,-34.15,-139.1
GREENPATCH ,-38.05,-145.15
ETTRICK ,-28.65,-152.9
COFFIN BAY ,-34.6,-135.45
PICCADILLY ,-35,-138.75
TARPEENA ,-37.65,-140.8
YORKETOWN ,-35,-137.6
LOBETHAL ,-34.9,-138.9
LYNDOCH ,-34.6,-138.9
MILLEL ,-37.8,-140.8
MORGAN ,-34.05,-139.65
PARACOMBE ,-34.85,-138.75
BALDINA ,-33.7,-139.1
WESTERN FLAT ,-36.55,-140.7
ROXBY DOWNS ,-30.55,-136.9
STRATHALBYN ,-35.25,-138.9
PORT BROUGHTON ,-33.6,-137.95
HALIDON AND DISTRICTS ,-34.85,-140.15
ROSEWORTHY ,-34.55,-138.75
TANUNDA ,-34.5,-138.95
NORTH SHIELDS ,-34.65,-135.85
HAHNDORF ,-35.05,-138.8
NAPPERBY ,-22.55,-132.75
HALLETT ,-33.4,-138.9
TUMBY BAY ,-34.2,-136.05
BLACKWOOD ,-35,-138.6
LAMEROO ,-35.35,-140.5
CLARE ,-33.85,-138.6
BRUKUNGA ,-35,-138.95
BLYTH ,-33.85,-138.5
WUDINNA ,-33,-135.3
COONALPYN ,-35.7,-139.85
DONOVANS ,-38,-140.95
CAMBRAI ,-34.65,-139.3
STATE HQ ,-27.45,-153.05
HINDMARSH VALLEY ,-35.45,-138.6
NAIRNE ,-35.05,-138.9
MOUNT WEDGE ,-33.5,-135.15
DUBLIN ,-34.45,-138.35
MONBULLA ,-37.4,-140.75
WAROOKA ,-35,-137.4
POOCHERA AND DISTRICTS ,-32.7,-134.85
OWEN ,-34.25,-138.55
PORT KENNY ,-33.15,-134.7
WESTERN DISTRICTS ,-32.2,-148.65
GUM FLAT ,-20.9,-145.4
MARLA ,-27.3,-133.6
CORNY POINT ,-34.95,-137.1
MUNDULLA ,-36.35,-140.7
KAPUNDA ,-34.35,-138.9
SELLICKS ,-35.35,-138.45
HERMITAGE ,-28.2,-152.1
CRYSTAL BROOK ,-33.35,-138.2
FRANCES ,-36.7,-140.95
COMPTON ,-37.8,-140.7
YUNDI ,-35.3,-138.65
BRENTWOOD ,-34.85,-137.5
SUMMERTOWN ,-34.95,-138.75
MAITLAND ,-34.35,-137.65
LEIGH CREEK CFS (ETSA) ,-30.6,-138.4
BOOLEROO CENTRE ,-32.9,-138.35
REGION 4 OPERATIONS ,-34.6,-150.5
ALDINGA BEACH ,-35.3,-138.45
BEACHPORT TOWN ,-37.5,-140
INMAN VALLEY ,-35.5,-138.45
HAWKER ,-31.9,-138.4
EDEN HILLS ,-35,-138.6
SPRINGTON ,-34.7,-139.1
FORRESTON ,-34.8,-138.9
WILMINGTON ,-32.65,-138.1
ELLISTON ,-33.55,-135.4
TRURO ,-34.4,-139.15
AMERICAN RIVER ,-35.8,-137.75
GLADSTONE ,-23.85,-151.25
LAURA ,-33.2,-138.3
SHEAOAK LOG ,-34.5,-138.8
BUCKLEBOO ,-32.8,-136
LAFFER ,-36.2,-140.15
NURIOOTPA ,-34.45,-139
ORROROO ,-32.75,-138.6
WOODCHESTER ,-35.2,-138.95
PALMER ,-34.85,-139.15
WANGARY ,-34.55,-135.5
UNGARRA ,-34.2,-136.05
MINTARO ,-33.9,-138.7
WIRRULLA AND DISTRICT ,-32.4,-134.55
WADDIKEE ,-33.3,-136.25
CADGEE ,-36.15,-149.9
WISANGER ,-35.65,-137.5
YALLUNDA FLAT ,-34.35,-135.9
KALANGADOO ,-37.55,-140.7
RUDALL ,-33.7,-136.25
PLEASANT PARK ,-37.65,-140.9
COCKALEECHIE ,-34.2,-135.85
MARRABEL ,-34.15,-138.9
BLACKFELLOWS CAVES ,-37.95,-140.45
KAPINNIE ,-34.15,-135.5
RIVERTON ,-34.15,-138.75
WAITPINGA ,-35.6,-138.5
HOYLETON ,-34,-138.55
GUMERACHA ,-34.8,-138.9
WUNKAR ,-34.5,-140.3
COLEBATCH ,-35.95,-139.75
PORT VINCENT ,-34.8,-137.85
BLANCHETOWN ,-34.35,-139.6
MONTACUTE ,-34.9,-138.75
COONAWARRA ,-37.3,-140.85
PORT VICTORIA ,-34.5,-137.5
CARRIETON ,-32.4,-138.55
JERVOIS ,-22.95,-136.15
FURNER ,-37.4,-140.35
TOOLIGIE HILL ,-33.8,-135.85
BROOKER ,-34.1,-135.85
COOKE PLAINS ,-35.4,-139.55
SEDAN ,-34.55,-139.3
SOUTH HUMMOCKS ,-34.05,-138.1
RHYNIE ,-34.15,-138.7
GREENOCK ,-34.45,-138.95
SEVENHILL/PENWORTHAM ,-33.9,-138.65
HAMLEY BRIDGE ,-34.35,-138.7
EDILLILIE ,-34.4,-135.7
KONGORONG ,-37.9,-140.55
ASHBOURNE ,-37.4,-144.45
LANGHORNE CREEK ,-35.3,-139.05
GLENCOE ,-29.95,-151.7
SPENCE ,-35.2,-149.05
BISCUIT FLAT ,-37.25,-140.05
WRATTONBULLY/JOANNA ,-37.15,-140.9
GREENWAYS ,-37.2,-140.15
PADTHAWAY ,-36.6,-140.5
MYPONGA DISTRICT ,-35.4,-138.45
FIELD ,-35.8,-139.65
MALLALA ,-34.45,-138.5
CUMMINS ,-34.25,-135.75
SADDLEWORTH ,-34.1,-138.8
KEYNETON ,-34.55,-139.15
YACKA ,-33.55,-138.45
FREELING ,-34.45,-138.8
BUTE ,-33.85,-138
PORT GERMEIN ,-33,-138
KEILIRA ,-36.65,-140.2
YEELANNA ,-34.15,-135.75
MINNIPA ,-32.85,-135.15
ALFORD ,-33.8,-137.8
COMAUM ,-37.2,-140.9
TARATAP ,-36.6,-139.95
KYBYBOLITE ,-36.85,-140.9
BANGHAM ,-36.55,-140.9
BRAY ,-37.3,-139.95
MOUNT MCINTYRE ,-37.55,-140.55
LOCHABER ,-36.8,-140.55
NANGWARRY ,-37.55,-140.8
ROCKLEIGH ,-35,-139.1
EASTERN EYRE GROUP ,-31.95,-133
MCLAREN FLAT ,-35.2,-138.6
MANOORA ,-34,-138.8
COROMANDEL VALLEY ,-35.05,-138.6
CURRAMULKA ,-34.7,-137.7
BLACKFELLOWS CREEK ,-33.2,-149.8
MOUNT TORRENS ,-34.85,-138.95
AVENUE RANGE ,-36.95,-140.25
CURRENCY CREEK ,-33.55,-150.85
BROWNS WELL ,-35.2,-140.95
ERNABELLA (Pukatja) ,-26.3,-132.15
ARDROSSAN ,-34.4,-137.9
ARNO BAY ,-33.9,-136.55
SHERLOCK/MOORLANDS ,-35.3,-139.8
PASKEVILLE ,-34.05,-137.9
WANDEARAH ,-33.4,-137.95
WEETULTA ,-34.25,-137.6
CUNLIFFE ,-34.1,-137.75
REDHILL ,-33.55,-138.2
WYNARKA ,-35.15,-139.75
TAPLAN ,-34.55,-140.9
NANTAWARRA ,-34,-138.25
STANSBURY ,-34.9,-137.8
SHERWOOD ,-30.05,-153.05
YONGALA ,-33.05,-138.75
MUNDOORA ,-33.6,-138.1
BOMS NO-MATCH ,-29.75,-153
MOUNT HOPE ,-23.8,-150.4
BUTLER ,-31.65,-115.7
COOTRA ,-33.25,-135.95
WARDS HILL ,-34.5,-138.7
SMOKY BAY ,-32.35,-133.95
APPILA ,-33.05,-138.45
SHERINGA ,-33.85,-135.25
MINLATON ,-34.75,-137.6
KARKOO ,-34.05,-135.75
PENONG ,-31.95,-133
STEWARTS RANGE ,-37,-140.6
MUDLA WIRRA ,-34.45,-138.65
LOCHIEL ,-33.95,-138.15
MOUNT SCHANK ,-37.95,-140.75
MURDINGA ,-33.7,-135.7
BRINKWORTH ,-33.7,-138.4
NARRUNG ,-35.5,-139.15
KULKAMI/MARAMA ,-35.15,-140.3
TEROWIE ,-32.45,-147.9
PORT CLINTON AND DISTRICTS ,-23.1,-150.75
MCLAREN VALE ,-35.2,-138.55
MANGALO ,-33.4,-136.6
PETERBOROUGH ,-32.95,-138.85
GALGA ,-34.7,-139.95
COMM CEN ,-20,-148.25
EDITHBURGH ,-35.1,-137.75
GREENHILL ,-34.95,-138.7
SNOWTOWN ,-33.8,-138.2
GULNARE ,-33.45,-138.45
CHERRY GARDENS ,-35.05,-138.65
YUNTA ,-32.6,-139.55
HAINES MACGILLIVRAY ,-35.85,-137.4
MAAOUPE ,-37.25,-140.7
MOUNT BURR ,-37.55,-140.45
CALTOWIE ,-33.2,-138.5
COULTA ,-34.4,-135.45
LEIGH CREEK / COPLEY ,-30.5,-138.4
BALGOWAN ,-34.35,-137.5
WILPENA ,-31.55,-138.6
MOUNT BENSON ,-33.55,-120.1
LYRUP ,-34.25,-140.65
MOUNT GRAHAM ,-20.6,-147.05
THORNLEA ,-37.45,-140.2
WATERVALE ,-33.95,-138.65
GEORGETOWN ,-18.3,-143.55
NEALES FLAT ,-34.25,-139.2
HYNAM ,-36.95,-140.85
WOOLUMBOOL ,-36.85,-140.3
WOLSELEY ,-36.35,-140.9
WANILLA ,-34.55,-135.7
KOPPIO ,-34.4,-135.85
WHYTE YARCOWIE ,-33.25,-138.9
BOOL LAGOON ,-37.2,-140.65
CLAYTON ,-37.9,-145.15
SENIOR ,-36.1,-140.8
RENDELSHAM ,-37.55,-140.25
LOCK ,-33.55,-135.75
MIMILI ,-27,-132.7
AVON ,-34.45,-150.7
OODNADATTA ,-27.55,-135.45
PEAKE ,-35.35,-139.95
ALLENDALE EAST ,-38,-140.7
FARRELL FLAT ,-33.85,-138.8
COUNTRY FIRE AUTHORITY ,-38.35,-144.9
ANDAMOOKA ,-30.45,-137.15
KOOLUNGA ,-33.55,-138.35
MOUNT TEMPLETON ,-34,-138.3
WOOMERA ,-31.2,-136.85
PEKINA ,-32.85,-138.55
ALMA ,-29.7,-149.15
R4 ,-35.3,-149.15
STAFF ,-38.25,-146.45
R3 ,-35.3,-149.15
TOTHILL ,-34.05,-138.95
WARRAMBOO ,-33.25,-135.6
YALANDA JAMES ,-17.35,-145.6
WHARMINDA ,-33.95,-136.25
R6 ,-35.3,-149.15
PIP-KALKA ,-26.15,-129.1
PORT MACDONNELL ,-38.05,-140.7
